  -4.82963  0.0411094
  -3.53553  0.0740741
   -1.2941   0.373876
    1.2941   0.373876
   3.53553  0.0740741
   4.82963  0.0411094

  -4.94911  0.0392254
  -4.54816  0.0461132
  -3.77875  0.0654496
   -2.7032   0.120376
  -1.40866   0.335083
-1.41638e-15          1
   1.40866   0.335083
    2.7032   0.120376
   3.77875  0.0654496
   4.54816  0.0461132
   4.94911  0.0392254

  -4.97592  0.0388202
   -4.7847  0.0418526
  -4.40961  0.0489126
  -3.86505  0.0627407
  -3.17197  0.0904047
  -2.35698   0.152547
  -1.45142   0.321892
 -0.490086   0.806332
  0.490086   0.806332
   1.45142   0.321892
   2.35698   0.152547
   3.17197  0.0904047
   3.86505  0.0627407
   4.40961  0.0489126
    4.7847  0.0418526
   4.97592  0.0388202

  -4.98602  0.0386692
  -4.87464  0.0403843
  -4.65437  0.0441245
  -4.33013  0.0506329
  -3.90916  0.0614194
  -3.40086  0.0795806
   -2.8166   0.111942
  -2.16942   0.175243
  -1.47378   0.315257
 -0.745211   0.642946
-3.06162e-16          1
  0.745211   0.642946
   1.47378   0.315257
   2.16942   0.175243
    2.8166   0.111942
   3.40086  0.0795806
   3.90916  0.0614194
   4.33013  0.0506329
   4.65437  0.0441245
   4.87464  0.0403843
   4.98602  0.0386692

