1 3.58916 
2 3.59582 
3 3.59586 
4 3.59586 
5 3.59586 
6 3.59586 
7 3.59586 
8 3.59586 
9 3.59586 
10 3.59586 
11 3.59586 
12 3.59586 

 
1 0.000548461 
2 0.282512 
3 0.284531 
4 0.284903 
5 0.284972 
6 0.284985 
7 0.284987 
8 0.284988 
9 0.284988 
10 0.284988 
11 0.284988 
12 0.284988 

 
1 1.91485e-05 
2 0.121709 
3 0.122242 
4 0.122514 
5 0.12265 
6 0.122719 
7 0.122753 
8 0.12277 
9 0.122778 
10 0.122782 
11 0.122784 
12 0.122786 

 
1 7.65325e-07 
2 0.0871906 
3 0.112849 
4 0.448692 
5 0.586181 
6 0.590295 
7 0.590385 
8 0.590387 
9 0.590387 
10 0.590387 
11 0.590387 
12 0.590387 

 
1 7.65192e-07 
2 0.0865954 
3 0.0865954 
4 0.0865954 
5 0.0865954 
6 0.0865954 
7 0.0865954 
8 0.0865954 
9 0.0865954 
10 0.0865954 
11 0.0865954 
12 0.0865954 

 
1 4.46116e-10 
2 2.98117e-06 
3 0.169094 
4 0.170974 
5 0.170974 
6 0.170974 
7 0.170974 
8 0.170974 
9 0.170974 
10 0.170974 
11 0.170974 
12 0.170974 

 
1 4.46116e-10 
2 2.97651e-06 
3 2.9781e-06 
4 0.092873 
5 0.0981544 
6 0.0981544 
7 0.0981544 
8 0.0981544 
9 0.0981544 
10 0.0981544 
11 0.0981544 
12 0.0981544 

 
