-3.51	  0.740613	 -0.164627
-3.5	  0.753902	  -0.16014
-3.49	   0.76689	 -0.155654
-3.48	  0.779572	 -0.151169
-3.47	  0.791941	 -0.146684
-3.46	  0.803994	   -0.1422
-3.45	  0.815725	 -0.137718
-3.44	   0.82713	 -0.133235
-3.43	  0.838204	 -0.128754
-3.42	  0.848943	 -0.124274
-3.41	  0.859342	 -0.119794
-3.4	  0.869397	 -0.115315
-3.39	  0.879105	 -0.110838
-3.38	  0.888461	 -0.106361
-3.37	  0.897462	 -0.101884
-3.36	  0.906104	-0.0974089
-3.35	  0.914383	-0.0929344
-3.34	  0.922297	-0.0884609
-3.33	  0.929841	-0.0839881
-3.32	  0.937014	-0.0795163
-3.31	  0.943812	-0.0750454
-3.3	  0.950233	-0.0705754
-3.29	  0.956273	-0.0661062
-3.28	  0.961931	 -0.061638
-3.27	  0.967204	-0.0571707
-3.26	   0.97209	-0.0527043
-3.25	  0.976588	-0.0482388
-3.24	  0.980694	-0.0437742
-3.23	  0.984409	-0.0393106
-3.22	   0.98773	-0.0348479
-3.21	  0.990655	-0.0303861
-3.2	  0.993185	-0.0259253
-3.19	  0.995317	-0.0214655
-3.18	  0.997051	-0.0170066
-3.17	  0.998386	-0.0125487
-3.16	  0.999322	-0.00809169
-3.15	  0.999859	-0.0036357
-3.14	  0.999995	0.000819312
-3.13	  0.999731	0.00527334
-3.12	  0.999068	0.00972649
-3.11	  0.998004	 0.0141785
-3.1	  0.996542	 0.0186296
-3.09	  0.994681	 0.0230796
-3.08	  0.992422	 0.0275286
-3.07	  0.989766	 0.0319766
-3.06	  0.986715	 0.0364236
-3.05	  0.983268	 0.0408696
-3.04	  0.979429	 0.0453145
-3.03	  0.975197	 0.0497584
-3.02	  0.970576	 0.0542013
-3.01	  0.965566	 0.0586431
-3	   0.96017	 0.0630838
-2.99	   0.95439	 0.0675235
-2.98	  0.948229	 0.0719622
-2.97	  0.941688	 0.0763997
-2.96	   0.93477	 0.0808362
-2.95	  0.927478	 0.0852716
-2.94	  0.919816	 0.0897059
-2.93	  0.911786	 0.0941392
-2.92	   0.90339	 0.0985713
-2.91	  0.894634	  0.103002
-2.9	   0.88552	  0.107432
-2.89	  0.876051	  0.111861
-2.88	  0.866232	  0.116289
-2.87	  0.856067	  0.120715
-2.86	  0.845559	  0.125141
-2.85	  0.834713	  0.129565
-2.84	  0.823533	  0.133988
-2.83	  0.812023	   0.13841
-2.82	  0.800189	  0.142831
-2.81	  0.788035	  0.147251
-2.8	  0.775566	   0.15167
