0	0.3141560	0.6282930	0.9423910	1.2564320	1.5703970	1.884265
2	0.0559682	0.0781042	0.1425482	0.1655372	0.2294302	0.253077
4	0.0398484	0.0554204	0.1016114	0.1175684	0.1636354	0.179834
6	0.0326116	0.0453036	0.0831896	0.0961356	0.1339946	0.147076
8	0.0282748	0.0392578	0.0721418	0.0833178	0.1162118	0.127477
10	0.02530710	0.03512410	0.06457810	0.07455410	0.10403310	0.114075
12	0.02311312	0.03207212	0.05898312	0.06807812	0.09502412	0.104170
14	0.02140514	0.02969714	0.05462914	0.06304214	0.08801214	0.096466
16	0.02002816	0.02778316	0.05111616	0.05897916	0.08235316	0.090251
18	0.01888618	0.02619718	0.04820318	0.05561318	0.07766218	0.085101
20	0.01792020	0.02485420	0.04573820	0.05276420	0.07369120	0.080743
22	0.01708822	0.02369922	0.04361622	0.05031322	0.07027322	0.076993
24	0.01636224	0.02269124	0.04176424	0.04817424	0.06729024	0.073720
26	0.01572126	0.02180226	0.04013026	0.04628726	0.06465826	0.070833
28	0.01515128	0.02101028	0.03867428	0.04460528	0.06231228	0.068260
30	0.01463830	0.02029830	0.03736530	0.04309530	0.06020430	0.065948
32	0.01417432	0.01965432	0.03618132	0.04172832	0.05829632	0.063857
34	0.01375234	0.01906834	0.03510334	0.04048334	0.05655934	0.061953
36	0.01336536	0.01853136	0.03411636	0.03934436	0.05496936	0.060209
38	0.01300938	0.01803738	0.03320738	0.03829538	0.05350638	0.058605
40	0.01268040	0.01758140	0.03236840	0.03732740	0.05215340	0.057122
42	0.01237542	0.01715742	0.03158942	0.03642842	0.05089942	0.055747
44	0.01209044	0.01676344	0.03086444	0.03559144	0.04973044	0.054467
46	0.01182546	0.01639546	0.03018646	0.03480946	0.04863946	0.053270
48	0.01157648	0.01605048	0.02955248	0.03407748	0.04761648	0.052150
50	0.01134350	0.01572650	0.02895650	0.03338950	0.04665650	0.051097
52	0.01112352	0.01542152	0.02839452	0.03274152	0.04575152	0.050105
54	0.01091554	0.01513254	0.02786454	0.03212954	0.04489754	0.049169
56	0.01071956	0.01486056	0.02736256	0.03155156	0.04408956	0.048284
58	0.01053258	0.01460258	0.02688758	0.03100258	0.04332358	0.047445
60	0.01035560	0.01435660	0.02643660	0.03048260	0.04259560	0.046648
62	0.01018762	0.01412362	0.02600662	0.02998662	0.04190462	0.045890
64	0.01002764	0.01390164	0.02559764	0.02951464	0.04124464	0.045168
66	0.00987466	0.01368866	0.02520766	0.02906466	0.04061566	0.044478
68	0.00972868	0.01348668	0.02483368	0.02863368	0.04001468	0.043820
70	0.00958870	0.01329270	0.02447670	0.02822270	0.03943970	0.043190
72	0.00945472	0.01310672	0.02413472	0.02782772	0.03888872	0.042586
74	0.00932574	0.01292874	0.02380674	0.02744974	0.03835974	0.042007
76	0.00920276	0.01275676	0.02349176	0.02708576	0.03785276	0.041451
78	0.00908378	0.01259278	0.02318878	0.02673678	0.03736478	0.040916
80	0.00896980	0.01243480	0.02289780	0.02640080	0.03689480	0.040402
82	0.00885982	0.01228182	0.02261682	0.02607682	0.03644282	0.039906
84	0.00875384	0.01213484	0.02234684	0.02576484	0.03600684	0.039428
86	0.00865186	0.01199286	0.02208486	0.02546386	0.03558586	0.038968
88	0.00855288	0.01185588	0.02183288	0.02517288	0.03517988	0.038522
90	0.00845690	0.01172390	0.02158890	0.02489190	0.03478690	0.038092
92	0.00836492	0.01159592	0.02135392	0.02461992	0.03440692	0.037676
94	0.00827594	0.01147194	0.02112494	0.02435594	0.03403894	0.037273
96	0.00818896	0.01135196	0.02090396	0.02410096	0.03368296	0.036883
98	0.00810498	0.01123498	0.02068998	0.02385398	0.03333798	0.036505
100	0.008023100	0.011121100	0.020481100	0.023614100	0.033002100	0.036138
