5.78	0.12435
5.8	0.125538
5.82	0.126627
5.84	0.127618
5.86	0.12851
5.88	0.129305
5.9	0.130002
5.92	0.130603
5.94	0.131107
5.96	0.131516
5.98	0.131829
6	0.132049
6.02	0.132175
6.04	0.132207
6.06	0.132148
6.08	0.131998
6.1	0.131757
6.12	0.131427
6.14	0.131009
6.16	0.130503
6.18	0.129911
6.2	0.129233
6.22	0.128471
6.24	0.127626
6.26	0.126699
6.28	0.125692
6.3	0.124605
6.32	0.12344
6.34	0.122198
6.36	0.12088
6.38	0.119488
6.4	0.118024
6.42	0.116488
6.44	0.114882
6.46	0.113207
6.48	0.111466
6.5	0.109659
6.52	0.107789
6.54	0.105855
6.56	0.103861
6.58	0.101808
6.6	0.0996977
6.62	0.0975311
6.64	0.0953102
6.66	0.0930367
6.68	0.0907124
6.7	0.0883388
6.72	0.0859177
6.74	0.083451
6.76	0.0809402
6.78	0.0783871
6.8	0.0757936
6.82	0.0731614
6.84	0.0704923
6.86	0.067788
6.88	0.0650505
6.9	0.0622814
6.92	0.0594826
6.94	0.0566559
6.96	0.0538031
6.98	0.0509261
7	0.0480267
7.02	0.0451067
7.04	0.0421679
7.06	0.0392121
7.08	0.0362412
7.1	0.033257
7.12	0.0302613
7.14	0.0272559
7.16	0.0242426
7.18	0.0212233
7.2	0.0181996
7.22	0.0151735
7.24	0.0121466
7.26	0.00912083
7.28	0.00609782
7.3	0.00307937
7.32	6.72171e-05
7.34	-0.00293692
7.36	-0.00593133
7.38	-0.0089143
7.4	-0.0118842
7.42	-0.0148392
7.44	-0.0177779
7.46	-0.0206985
7.48	-0.0235993
7.5	-0.0264789
7.52	-0.0293356
7.54	-0.0321678
7.56	-0.034974
7.58	-0.0377528
7.6	-0.0405024
7.62	-0.0432216
7.64	-0.0459088
7.66	-0.0485626
7.68	-0.0511816
7.7	-0.0537643
7.72	-0.0563095
7.74	-0.0588157
7.76	-0.0612817
7.78	-0.0637061
7.8	-0.0660878
7.82	-0.0684253
7.84	-0.0707177
7.86	-0.0729635
7.88	-0.0751618
7.9	-0.0773113
7.92	-0.079411
7.94	-0.0814598
7.96	-0.0834567
7.98	-0.0854006
8	-0.0872905
8.02	-0.0891256
8.04	-0.0909048
8.06	-0.0926273
8.08	-0.0942923
8.1	-0.0958989
8.12	-0.0974463
8.14	-0.0989337
8.16	-0.10036
8.18	-0.101726
8.2	-0.103029
8.22	-0.10427
8.24	-0.105447
8.26	-0.106561
8.28	-0.10761
8.3	-0.108594
8.32	-0.109513
8.34	-0.110366
8.36	-0.111153
8.38	-0.111873
8.4	-0.112527
8.42	-0.113113
8.44	-0.113632
8.46	-0.114083
8.48	-0.114466
8.5	-0.114781
8.52	-0.115028
8.54	-0.115206
8.56	-0.115316
8.58	-0.115358
8.6	-0.115332
8.62	-0.115237
8.64	-0.115073
8.66	-0.114842
8.68	-0.114542
8.7	-0.114175
8.72	-0.113739
8.74	-0.113236
8.76	-0.112666
8.78	-0.112029
8.8	-0.111326
8.82	-0.110556
8.84	-0.10972
8.86	-0.108818
8.88	-0.107852
8.9	-0.106821
8.92	-0.105726
8.94	-0.104567
8.96	-0.103345
8.98	-0.102061
9	-0.100715
9.02	-0.0993082
9.04	-0.0978406
9.06	-0.0963132
9.08	-0.0947267
9.1	-0.093082
9.12	-0.0913796
9.14	-0.0896206
9.16	-0.0878056
9.18	-0.0859355
9.2	-0.0840113
9.22	-0.0820337
9.24	-0.0800037
9.26	-0.0779224
9.28	-0.0757905
9.3	-0.0736092
9.32	-0.0713793
9.34	-0.0691021
9.36	-0.0667784
9.38	-0.0644094
9.4	-0.0619961
9.42	-0.0595397
9.44	-0.0570413
9.46	-0.054502
9.48	-0.051923
9.5	-0.0493055
9.52	-0.0466506
9.54	-0.0439595
